"Car_Class","Space","Position","Pole","Wall","Door","Map","Legroom","Perpendicular","SeatPole","Vestibule"
"R143a","10e",0,1,0,0,3,0,0,0,0
"R143a","10f",1,0,0,1,1,0,0,0,0
"R143a","11a",0,1,0,3,0,0,0,0,0
"R143a","11b",0,1,0,0,0,0,0,0,1
"R143a","11c",0,1,0,0,0,0,0,0,1
"R143a","11d",0,1,0,0,0,0,0,0,1
"R143a","11e",0,1,0,0,0,0,0,0,1
"R143a","11f",0,1,0,3,0,0,0,0,0
"R143a","12a",0,1,0,3,0,0,0,0,0
"R143a","12b",0,1,0,0,0,0,0,0,1
"R143a","12c",0,1,0,0,0,0,0,0,1
"R143a","12d",0,1,0,0,0,0,0,0,1
"R143a","12e",0,1,0,0,0,0,0,0,1
"R143a","12f",0,1,0,3,0,0,0,0,0
"R143a","13a",1,0,0,1,0,0,0,0,0
"R143a","13b",0,1,0,0,0,0,0,0,0
"R143a","13c",0,0,0,0,0,0,0,0,0
"R143a","13d",0,0,0,0,0,0,0,0,0
"R143a","13e",0,1,0,0,0,0,0,0,0
"R143a","13f",1,0,0,2,0,0,0,0,0
"R143a","14a",1,0,0,0,0,0,0,0,0
"R143a","14b",0,0,0,0,0,0,0,0,0
"R143a","14c",0,0,0,0,0,0,0,0,0
"R143a","14d",0,0,0,0,0,0,0,0,0
"R143a","14e",0,0,0,0,0,0,0,0,0
"R143a","14f",1,0,0,0,0,0,0,0,0
"R143a","15a",1,0,0,0,0,0,0,2,0
"R143a","15b",0,1,0,0,0,0,0,0,0
"R143a","15c",0,0,0,0,0,0,0,0,0
"R143a","15d",0,0,0,0,0,0,0,0,0
"R143a","15e",0,1,0,0,0,0,0,0,0
"R143a","15f",1,0,0,0,0,0,0,1,0
"R143a","16a",1,0,0,0,0,0,0,1,0
"R143a","16b",0,1,0,0,0,0,0,0,0
"R143a","16c",0,0,0,0,0,0,0,0,0
"R143a","16d",0,0,0,0,0,0,0,0,0
"R143a","16e",0,1,0,0,0,0,0,0,0
"R143a","16f",1,0,0,0,0,0,0,2,0
"R143a","17a",1,0,0,0,0,0,0,0,0
"R143a","17b",0,0,0,0,0,0,0,0,0
"R143a","17c",0,0,0,0,0,0,0,0,0
"R143a","17d",0,0,0,0,0,0,0,0,0
"R143a","17e",0,0,0,0,0,0,0,0,0
"R143a","17f",1,0,0,0,0,0,0,0,0
"R143a","18a",1,0,0,2,0,0,0,0,0
"R143a","18b",0,1,0,0,0,0,0,0,0
"R143a","18c",0,0,0,0,0,0,0,0,0
"R143a","18d",0,0,0,0,0,0,0,0,0
"R143a","18e",0,1,0,0,0,0,0,0,0
"R143a","18f",1,0,0,1,0,0,0,0,0
"R143a","19a",0,1,0,3,0,0,0,0,0
"R143a","19b",0,1,0,0,0,0,0,0,1
"R143a","19c",0,1,0,0,0,0,0,0,1
"R143a","19d",0,1,0,0,0,0,0,0,1
"R143a","19e",0,1,0,0,0,0,0,0,1
"R143a","19f",0,1,0,3,0,0,0,0,0
"R143a","20a",0,1,0,3,0,0,0,0,0
"R143a","20b",0,1,0,0,0,0,0,0,1
"R143a","20c",0,1,0,0,0,0,0,0,1
"R143a","20d",0,1,0,0,0,0,0,0,1
"R143a","20e",0,1,0,0,0,0,0,0,1
"R143a","20f",0,1,0,3,0,0,0,0,0
"R143a","21a",1,0,0,1,0,0,0,0,0
"R143a","21b",0,1,0,0,0,0,0,0,0
"R143a","21c",0,0,0,0,0,0,0,0,0
"R143a","21d",0,0,0,0,0,0,0,0,0
"R143a","21e",0,1,0,0,0,0,0,0,0
"R143a","21f",1,0,0,2,0,0,0,0,0
"R143a","22a",1,0,0,0,0,0,0,0,0
"R143a","22b",0,0,0,0,0,0,0,0,0
"R143a","22c",0,1,0,0,0,0,0,0,0
"R143a","22d",0,1,0,0,0,0,0,0,0
"R143a","22e",0,0,0,0,0,0,0,0,0
"R143a","22f",1,0,0,0,0,0,0,0,0
"R143a","23a",1,0,0,0,0,0,0,2,0
"R143a","23b",0,1,0,0,0,0,0,0,0
"R143a","23c",0,1,0,0,0,0,0,0,0
"R143a","23d",0,1,0,0,0,0,0,0,0
"R143a","23e",0,1,0,0,0,0,0,0,0
"R143a","23f",1,0,0,0,0,0,0,1,0
"R143a","24a",1,0,0,0,0,0,0,1,0
"R143a","24b",0,1,0,0,0,0,0,0,0
"R143a","24c",0,0,0,0,0,0,0,0,0
"R143a","24d",0,0,0,0,0,0,0,0,0
"R143a","24e",0,1,0,0,0,0,0,0,0
"R143a","24f",1,0,0,0,0,0,0,2,0
"R143a","25a",1,0,0,0,1,0,0,0,0
"R143a","25b",0,0,0,0,3,0,0,0,0
"R143a","25c",0,0,0,0,0,0,0,0,0
"R143a","25d",0,0,0,0,0,0,0,0,0
"R143a","25e",0,0,0,0,0,0,0,0,0
"R143a","25f",1,0,0,0,2,0,0,0,0
"R143a","26a",1,0,0,2,1,0,0,0,0
"R143a","26b",0,1,0,0,3,0,0,0,0
"R143a","26c",0,1,0,0,0,0,0,0,0
"R143a","26d",0,1,0,0,0,0,0,0,0
"R143a","26e",0,1,0,0,0,0,0,0,0
"R143a","26f",1,0,0,1,2,0,0,0,0
"R143a","27a",0,1,0,3,0,0,0,0,0
"R143a","27b",0,1,0,0,0,0,0,0,1
"R143a","27c",0,1,0,0,0,0,0,0,1
"R143a","27d",0,1,0,0,0,0,0,0,1
"R143a","27e",0,1,0,0,0,0,0,0,1
"R143a","27f",0,1,0,3,0,0,0,0,0
"R143a","28a",0,1,0,3,0,0,0,0,0
"R143a","28b",0,0,0,0,0,0,0,0,1
"R143a","28c",0,0,0,0,0,0,0,0,1
"R143a","28d",0,0,0,0,0,0,0,0,1
"R143a","28e",0,0,0,0,0,0,0,0,1
"R143a","28f",0,1,0,3,0,0,0,0,0
"R143a","29a",2,0,2,5,0,0,0,0,0
"R143a","29b",0,1,4,0,0,0,0,0,0
"R143a","29c",0,1,4,0,0,0,0,0,0
"R143a","29d",0,1,4,0,0,0,0,0,0
"R143a","29e",0,1,4,0,0,0,0,0,0
"R143a","29f",2,0,1,6,0,0,0,0,0
"R160a","01a",1,0,1,0,0,0,0,0,0
"R160a","01b",0,0,4,0,0,0,0,0,0
"R160a","01c",0,0,4,0,0,0,0,0,0
"R160a","01d",0,0,4,0,0,0,0,0,0
"R160a","01e",0,0,4,0,0,0,0,0,0
"R160a","01f",1,0,2,0,0,0,0,0,0
"R160a","02a",1,0,0,2,0,0,0,0,0
"R160a","02b",0,1,0,0,0,0,0,0,0
"R160a","02c",0,0,0,0,0,0,0,0,0
"R160a","02d",0,0,0,0,0,0,0,0,0
"R160a","02e",0,1,0,0,0,0,0,0,0
"R160a","02f",1,0,0,1,0,0,0,0,0
"R160a","03a",0,1,0,3,0,0,0,0,0
"R160a","03b",0,1,0,0,0,0,0,0,1
"R160a","03c",0,1,0,0,0,0,0,0,1
"R160a","03d",0,1,0,0,0,0,0,0,1
"R160a","03e",0,1,0,0,0,0,0,0,1
"R160a","03f",0,1,0,3,0,0,0,0,0
"R160a","04a",0,1,0,3,0,0,0,0,0
"R160a","04b",0,1,0,0,0,0,0,0,1
"R160a","04c",0,1,0,0,0,0,0,0,1
"R160a","04d",0,1,0,0,0,0,0,0,1
"R160a","04e",0,1,0,0,0,0,0,0,1
"R160a","04f",0,1,0,3,0,0,0,0,0
